scope,item_key,item_id,item_name,quality,added_at,last_velocity,is_active
,,49304,,,2026-08-06T07:29:22Z,,1
,,9737,,,2026-08-06T07:29:22Z,,1
,,23888,,,2026-08-06T07:29:22Z,,1
,,46102,,,2026-08-06T07:29:22Z,,1
,,12551,,,2026-08-06T07:29:22Z,,1
,,46077,,,2026-08-06T07:29:22Z,,1
,,9518,,,2026-08-06T07:29:22Z,,1
,,5075,,,2026-08-06T07:29:22Z,,1
,,47196,,,2026-08-06T07:29:22Z,,1
,,52295,,,2026-08-06T07:29:22Z,,1
,,41780,,,2026-08-06T07:29:22Z,,1
,,48108,,,2026-08-06T07:29:22Z,,1
,,15927,,,2026-08-06T07:29:22Z,,1
,,37348,,,2026-08-06T07:29:22Z,,1
,,50056,,,2026-08-06T07:29:22Z,,1
,,46038,,,2026-08-06T07:29:22Z,,1
,,52286,,,2026-08-06T07:29:22Z,,1
,,14188,,,2026-08-06T07:29:22Z,,1
,,47201,,,2026-08-06T07:29:22Z,,1
,,5584,,,2026-08-06T07:29:22Z,,1
,,52616,,,2026-08-06T07:29:22Z,,1
,,44169,,,2026-08-06T07:29:22Z,,1
,,18370,,,2026-08-06T07:29:22Z,,1
,,52255,,,2026-08-06T07:29:22Z,,1
,,2445,,,2026-08-06T07:29:22Z,,1
,,35059,,,2026-08-06T07:29:22Z,,1
,,47198,,,2026-08-06T07:29:22Z,,1
,,51256,,,2026-08-06T07:29:22Z,,1
,,41499,,,2026-08-06T07:29:22Z,,1
,,16,,,2026-08-06T07:29:22Z,,1
,,36099,,,2026-08-06T07:29:22Z,,1
,,44504,,,2026-08-06T07:29:22Z,,1
,,40632,,,2026-08-06T07:29:22Z,,1
,,51263,,,2026-08-06T07:29:22Z,,1
,,19032,,,2026-08-06T07:29:22Z,,1
,,27716,,,2026-08-06T07:29:22Z,,1
,,12114,,,2026-08-06T07:29:22Z,,1
,,52292,,,2026-08-06T07:29:22Z,,1
,,51962,,,2026-08-06T07:29:22Z,,1
,,7008,,,2026-08-06T07:29:22Z,,1
,,13115,,,2026-08-06T07:29:22Z,,1
,,17,,,2026-08-06T07:29:22Z,,1
,,4222,,,2026-08-06T07:29:22Z,,1
,,38565,,,2026-08-06T07:29:22Z,,1
,,45992,,,2026-08-06T07:29:22Z,,1
,,46039,,,2026-08-06T07:29:22Z,,1
,,12591,,,2026-08-06T07:29:22Z,,1
,,33916,,,2026-08-06T07:29:22Z,,1
,,20684,,,2026-08-06T07:29:22Z,,1
,,27836,,,2026-08-06T07:29:22Z,,1
,,50447,,,2026-08-06T07:29:22Z,,1
,,32802,,,2026-08-06T07:29:22Z,,1
,,14172,,,2026-08-06T07:29:22Z,,1
